id	permissions	creation_id	group_id	owner_id	update_id	image	plateacquisition	well	well_index
3065908	-56	69535340	3	2	69535340	3263259	4601	1318501	8
3065907	-56	69535340	3	2	69535340	3263258	4601	1318501	7
3065906	-56	69535340	3	2	69535340	3263257	4601	1318501	6
3065905	-56	69535340	3	2	69535340	3263256	4601	1318501	5
3065904	-56	69535340	3	2	69535340	3263255	4601	1318501	4
3065903	-56	69535340	3	2	69535340	3263254	4601	1318501	3
3065902	-56	69535340	3	2	69535340	3263253	4601	1318501	2
3065901	-56	69535340	3	2	69535340	3263252	4601	1318501	1
3066098	-56	69535340	3	2	69535340	3262801	4601	1318501	0
3065756	-56	69535340	3	2	69535340	3263107	4601	1318484	8
3065755	-56	69535340	3	2	69535340	3263106	4601	1318484	7
3065754	-56	69535340	3	2	69535340	3263105	4601	1318484	6
3065753	-56	69535340	3	2	69535340	3263104	4601	1318484	5
3065752	-56	69535340	3	2	69535340	3263103	4601	1318484	4
3065751	-56	69535340	3	2	69535340	3263102	4601	1318484	3
3065750	-56	69535340	3	2	69535340	3263101	4601	1318484	2
3065749	-56	69535340	3	2	69535340	3263100	4601	1318484	1
3065748	-56	69535340	3	2	69535340	3263099	4601	1318484	0
3065729	-56	69535340	3	2	69535340	3263080	4601	1318481	8
3065728	-56	69535340	3	2	69535340	3263079	4601	1318481	7
3065727	-56	69535340	3	2	69535340	3263078	4601	1318481	6
3065726	-56	69535340	3	2	69535340	3263077	4601	1318481	5
3065725	-56	69535340	3	2	69535340	3263076	4601	1318481	4
3065724	-56	69535340	3	2	69535340	3263075	4601	1318481	3
3065723	-56	69535340	3	2	69535340	3263074	4601	1318481	2
3065722	-56	69535340	3	2	69535340	3263073	4601	1318481	1
3065721	-56	69535340	3	2	69535340	3263072	4601	1318481	0
3065864	-56	69535340	3	2	69535340	3263215	4601	1318496	8
3065863	-56	69535340	3	2	69535340	3263214	4601	1318496	7
3065862	-56	69535340	3	2	69535340	3263213	4601	1318496	6
3065861	-56	69535340	3	2	69535340	3263212	4601	1318496	5
3065860	-56	69535340	3	2	69535340	3263211	4601	1318496	4
3065859	-56	69535340	3	2	69535340	3263210	4601	1318496	3
3065858	-56	69535340	3	2	69535340	3263209	4601	1318496	2
3065857	-56	69535340	3	2	69535340	3263208	4601	1318496	1
3065856	-56	69535340	3	2	69535340	3263207	4601	1318496	0
3065765	-56	69535340	3	2	69535340	3263116	4601	1318485	8
3065764	-56	69535340	3	2	69535340	3263115	4601	1318485	7
3065763	-56	69535340	3	2	69535340	3263114	4601	1318485	6
3065762	-56	69535340	3	2	69535340	3263113	4601	1318485	5
3065761	-56	69535340	3	2	69535340	3263112	4601	1318485	4
3065760	-56	69535340	3	2	69535340	3263111	4601	1318485	3
3065759	-56	69535340	3	2	69535340	3263110	4601	1318485	2
3065758	-56	69535340	3	2	69535340	3263109	4601	1318485	1
3065757	-56	69535340	3	2	69535340	3263108	4601	1318485	0
3065540	-56	69535340	3	2	69535340	3262891	4601	1318460	8
3065539	-56	69535340	3	2	69535340	3262890	4601	1318460	7
3065538	-56	69535340	3	2	69535340	3262889	4601	1318460	6
3065537	-56	69535340	3	2	69535340	3262888	4601	1318460	5
3065536	-56	69535340	3	2	69535340	3262887	4601	1318460	4
3065535	-56	69535340	3	2	69535340	3262886	4601	1318460	3
3065534	-56	69535340	3	2	69535340	3262885	4601	1318460	2
3065533	-56	69535340	3	2	69535340	3262884	4601	1318460	1
3065532	-56	69535340	3	2	69535340	3262883	4601	1318460	0
3066043	-56	69535340	3	2	69535340	3263394	4601	1318516	8
3066042	-56	69535340	3	2	69535340	3263393	4601	1318516	7
3066041	-56	69535340	3	2	69535340	3263392	4601	1318516	6
3066040	-56	69535340	3	2	69535340	3263391	4601	1318516	5
3066039	-56	69535340	3	2	69535340	3263390	4601	1318516	4
3066038	-56	69535340	3	2	69535340	3263389	4601	1318516	3
3066037	-56	69535340	3	2	69535340	3263388	4601	1318516	2
3066036	-56	69535340	3	2	69535340	3263387	4601	1318516	1
3066035	-56	69535340	3	2	69535340	3263386	4601	1318516	0
3065513	-56	69535340	3	2	69535340	3262864	4601	1318457	8
3065512	-56	69535340	3	2	69535340	3262863	4601	1318457	7
3065511	-56	69535340	3	2	69535340	3262862	4601	1318457	6
3065510	-56	69535340	3	2	69535340	3262861	4601	1318457	5
3065509	-56	69535340	3	2	69535340	3262860	4601	1318457	4
3065508	-56	69535340	3	2	69535340	3262859	4601	1318457	3
3065507	-56	69535340	3	2	69535340	3262858	4601	1318457	2
3065506	-56	69535340	3	2	69535340	3262857	4601	1318457	1
3065505	-56	69535340	3	2	69535340	3262856	4601	1318457	0
3066034	-56	69535340	3	2	69535340	3263385	4601	1318515	8
3066033	-56	69535340	3	2	69535340	3263384	4601	1318515	7
3066032	-56	69535340	3	2	69535340	3263383	4601	1318515	6
3066031	-56	69535340	3	2	69535340	3263382	4601	1318515	5
3066030	-56	69535340	3	2	69535340	3263381	4601	1318515	4
3066029	-56	69535340	3	2	69535340	3263380	4601	1318515	3
3066028	-56	69535340	3	2	69535340	3263379	4601	1318515	2
3066027	-56	69535340	3	2	69535340	3263378	4601	1318515	1
3066026	-56	69535340	3	2	69535340	3263377	4601	1318515	0
3065684	-56	69535340	3	2	69535340	3263035	4601	1318476	8
3065683	-56	69535340	3	2	69535340	3263034	4601	1318476	7
3065682	-56	69535340	3	2	69535340	3263033	4601	1318476	6
3065681	-56	69535340	3	2	69535340	3263032	4601	1318476	5
3065680	-56	69535340	3	2	69535340	3263031	4601	1318476	4
3065679	-56	69535340	3	2	69535340	3263030	4601	1318476	3
3065678	-56	69535340	3	2	69535340	3263029	4601	1318476	2
3065677	-56	69535340	3	2	69535340	3263028	4601	1318476	1
3065676	-56	69535340	3	2	69535340	3263027	4601	1318476	0
3065917	-56	69535340	3	2	69535340	3263268	4601	1318502	8
3065916	-56	69535340	3	2	69535340	3263267	4601	1318502	7
3065915	-56	69535340	3	2	69535340	3263266	4601	1318502	6
3065914	-56	69535340	3	2	69535340	3263265	4601	1318502	5
3065913	-56	69535340	3	2	69535340	3263264	4601	1318502	4
3065912	-56	69535340	3	2	69535340	3263263	4601	1318502	3
3065911	-56	69535340	3	2	69535340	3263262	4601	1318502	2
3065910	-56	69535340	3	2	69535340	3263261	4601	1318502	1
3065909	-56	69535340	3	2	69535340	3263260	4601	1318502	0
3066097	-56	69535340	3	2	69535340	3263448	4601	1318522	8
3066096	-56	69535340	3	2	69535340	3263447	4601	1318522	7
3066095	-56	69535340	3	2	69535340	3263446	4601	1318522	6
3066094	-56	69535340	3	2	69535340	3263445	4601	1318522	5
3066093	-56	69535340	3	2	69535340	3263444	4601	1318522	4
3066092	-56	69535340	3	2	69535340	3263443	4601	1318522	3
3066091	-56	69535340	3	2	69535340	3263442	4601	1318522	2
3066090	-56	69535340	3	2	69535340	3263441	4601	1318522	1
3066089	-56	69535340	3	2	69535340	3263440	4601	1318522	0
3065531	-56	69535340	3	2	69535340	3262882	4601	1318459	8
3065530	-56	69535340	3	2	69535340	3262881	4601	1318459	7
3065529	-56	69535340	3	2	69535340	3262880	4601	1318459	6
3065528	-56	69535340	3	2	69535340	3262879	4601	1318459	5
3065527	-56	69535340	3	2	69535340	3262878	4601	1318459	4
3065526	-56	69535340	3	2	69535340	3262877	4601	1318459	3
3065525	-56	69535340	3	2	69535340	3262876	4601	1318459	2
3065524	-56	69535340	3	2	69535340	3262875	4601	1318459	1
3065523	-56	69535340	3	2	69535340	3262874	4601	1318459	0
3065549	-56	69535340	3	2	69535340	3262900	4601	1318461	8
3065548	-56	69535340	3	2	69535340	3262899	4601	1318461	7
3065547	-56	69535340	3	2	69535340	3262898	4601	1318461	6
3065546	-56	69535340	3	2	69535340	3262897	4601	1318461	5
3065545	-56	69535340	3	2	69535340	3262896	4601	1318461	4
3065544	-56	69535340	3	2	69535340	3262895	4601	1318461	3
3065543	-56	69535340	3	2	69535340	3262894	4601	1318461	2
3065542	-56	69535340	3	2	69535340	3262893	4601	1318461	1
3065541	-56	69535340	3	2	69535340	3262892	4601	1318461	0
3065522	-56	69535340	3	2	69535340	3262873	4601	1318458	8
3065521	-56	69535340	3	2	69535340	3262872	4601	1318458	7
3065520	-56	69535340	3	2	69535340	3262871	4601	1318458	6
3065519	-56	69535340	3	2	69535340	3262870	4601	1318458	5
3065518	-56	69535340	3	2	69535340	3262869	4601	1318458	4
3065517	-56	69535340	3	2	69535340	3262868	4601	1318458	3
3065516	-56	69535340	3	2	69535340	3262867	4601	1318458	2
3065515	-56	69535340	3	2	69535340	3262866	4601	1318458	1
3065514	-56	69535340	3	2	69535340	3262865	4601	1318458	0
3065459	-56	69535340	3	2	69535340	3262810	4601	1318451	8
3065458	-56	69535340	3	2	69535340	3262809	4601	1318451	7
3065457	-56	69535340	3	2	69535340	3262808	4601	1318451	6
3065456	-56	69535340	3	2	69535340	3262807	4601	1318451	5
3065455	-56	69535340	3	2	69535340	3262806	4601	1318451	4
3065454	-56	69535340	3	2	69535340	3262805	4601	1318451	3
3065453	-56	69535340	3	2	69535340	3262804	4601	1318451	2
3065452	-56	69535340	3	2	69535340	3262803	4601	1318451	1
3065451	-56	69535340	3	2	69535340	3262802	4601	1318451	0
3065935	-56	69535340	3	2	69535340	3263286	4601	1318504	8
3065934	-56	69535340	3	2	69535340	3263285	4601	1318504	7
3065933	-56	69535340	3	2	69535340	3263284	4601	1318504	6
3065932	-56	69535340	3	2	69535340	3263283	4601	1318504	5
3065931	-56	69535340	3	2	69535340	3263282	4601	1318504	4
3065930	-56	69535340	3	2	69535340	3263281	4601	1318504	3
3065929	-56	69535340	3	2	69535340	3263280	4601	1318504	2
3065928	-56	69535340	3	2	69535340	3263279	4601	1318504	1
3065927	-56	69535340	3	2	69535340	3263278	4601	1318504	0
3065810	-56	69535340	3	2	69535340	3263161	4601	1318490	8
3065809	-56	69535340	3	2	69535340	3263160	4601	1318490	7
3065808	-56	69535340	3	2	69535340	3263159	4601	1318490	6
3065807	-56	69535340	3	2	69535340	3263158	4601	1318490	5
3065806	-56	69535340	3	2	69535340	3263157	4601	1318490	4
3065805	-56	69535340	3	2	69535340	3263156	4601	1318490	3
3065804	-56	69535340	3	2	69535340	3263155	4601	1318490	2
3065803	-56	69535340	3	2	69535340	3263154	4601	1318490	1
3065802	-56	69535340	3	2	69535340	3263153	4601	1318490	0
3065998	-56	69535340	3	2	69535340	3263349	4601	1318511	8
3065997	-56	69535340	3	2	69535340	3263348	4601	1318511	7
3065996	-56	69535340	3	2	69535340	3263347	4601	1318511	6
3065995	-56	69535340	3	2	69535340	3263346	4601	1318511	5
3065994	-56	69535340	3	2	69535340	3263345	4601	1318511	4
3065993	-56	69535340	3	2	69535340	3263344	4601	1318511	3
3065992	-56	69535340	3	2	69535340	3263343	4601	1318511	2
3065991	-56	69535340	3	2	69535340	3263342	4601	1318511	1
3065990	-56	69535340	3	2	69535340	3263341	4601	1318511	0
3066052	-56	69535340	3	2	69535340	3263403	4601	1318517	8
3066051	-56	69535340	3	2	69535340	3263402	4601	1318517	7
3066050	-56	69535340	3	2	69535340	3263401	4601	1318517	6
3066049	-56	69535340	3	2	69535340	3263400	4601	1318517	5
3066048	-56	69535340	3	2	69535340	3263399	4601	1318517	4
3066047	-56	69535340	3	2	69535340	3263398	4601	1318517	3
3066046	-56	69535340	3	2	69535340	3263397	4601	1318517	2
3066045	-56	69535340	3	2	69535340	3263396	4601	1318517	1
3066044	-56	69535340	3	2	69535340	3263395	4601	1318517	0
3065926	-56	69535340	3	2	69535340	3263277	4601	1318503	8
3065925	-56	69535340	3	2	69535340	3263276	4601	1318503	7
3065924	-56	69535340	3	2	69535340	3263275	4601	1318503	6
3065923	-56	69535340	3	2	69535340	3263274	4601	1318503	5
3065922	-56	69535340	3	2	69535340	3263273	4601	1318503	4
3065921	-56	69535340	3	2	69535340	3263272	4601	1318503	3
3065920	-56	69535340	3	2	69535340	3263271	4601	1318503	2
3065919	-56	69535340	3	2	69535340	3263270	4601	1318503	1
3065918	-56	69535340	3	2	69535340	3263269	4601	1318503	0
3065477	-56	69535340	3	2	69535340	3262828	4601	1318453	8
3065476	-56	69535340	3	2	69535340	3262827	4601	1318453	7
3065475	-56	69535340	3	2	69535340	3262826	4601	1318453	6
3065474	-56	69535340	3	2	69535340	3262825	4601	1318453	5
3065473	-56	69535340	3	2	69535340	3262824	4601	1318453	4
3065472	-56	69535340	3	2	69535340	3262823	4601	1318453	3
3065471	-56	69535340	3	2	69535340	3262822	4601	1318453	2
3065470	-56	69535340	3	2	69535340	3262821	4601	1318453	1
3065469	-56	69535340	3	2	69535340	3262820	4601	1318453	0
3065882	-56	69535340	3	2	69535340	3263233	4601	1318498	8
3065881	-56	69535340	3	2	69535340	3263232	4601	1318498	7
3065880	-56	69535340	3	2	69535340	3263231	4601	1318498	6
3065879	-56	69535340	3	2	69535340	3263230	4601	1318498	5
3065878	-56	69535340	3	2	69535340	3263229	4601	1318498	4
3065877	-56	69535340	3	2	69535340	3263228	4601	1318498	3
3065876	-56	69535340	3	2	69535340	3263227	4601	1318498	2
3065875	-56	69535340	3	2	69535340	3263226	4601	1318498	1
3065874	-56	69535340	3	2	69535340	3263225	4601	1318498	0
3065630	-56	69535340	3	2	69535340	3262981	4601	1318470	8
3065629	-56	69535340	3	2	69535340	3262980	4601	1318470	7
3065628	-56	69535340	3	2	69535340	3262979	4601	1318470	6
3065627	-56	69535340	3	2	69535340	3262978	4601	1318470	5
3065626	-56	69535340	3	2	69535340	3262977	4601	1318470	4
3065625	-56	69535340	3	2	69535340	3262976	4601	1318470	3
3065624	-56	69535340	3	2	69535340	3262975	4601	1318470	2
3065623	-56	69535340	3	2	69535340	3262974	4601	1318470	1
3065622	-56	69535340	3	2	69535340	3262973	4601	1318470	0
3065558	-56	69535340	3	2	69535340	3262909	4601	1318462	8
3065557	-56	69535340	3	2	69535340	3262908	4601	1318462	7
3065556	-56	69535340	3	2	69535340	3262907	4601	1318462	6
3065555	-56	69535340	3	2	69535340	3262906	4601	1318462	5
3065554	-56	69535340	3	2	69535340	3262905	4601	1318462	4
3065553	-56	69535340	3	2	69535340	3262904	4601	1318462	3
3065552	-56	69535340	3	2	69535340	3262903	4601	1318462	2
3065551	-56	69535340	3	2	69535340	3262902	4601	1318462	1
3065550	-56	69535340	3	2	69535340	3262901	4601	1318462	0
3065567	-56	69535340	3	2	69535340	3262918	4601	1318463	8
3065566	-56	69535340	3	2	69535340	3262917	4601	1318463	7
3065565	-56	69535340	3	2	69535340	3262916	4601	1318463	6
3065564	-56	69535340	3	2	69535340	3262915	4601	1318463	5
3065563	-56	69535340	3	2	69535340	3262914	4601	1318463	4
3065562	-56	69535340	3	2	69535340	3262913	4601	1318463	3
3065561	-56	69535340	3	2	69535340	3262912	4601	1318463	2
3065560	-56	69535340	3	2	69535340	3262911	4601	1318463	1
3065559	-56	69535340	3	2	69535340	3262910	4601	1318463	0
3065819	-56	69535340	3	2	69535340	3263170	4601	1318491	8
3065818	-56	69535340	3	2	69535340	3263169	4601	1318491	7
3065817	-56	69535340	3	2	69535340	3263168	4601	1318491	6
3065816	-56	69535340	3	2	69535340	3263167	4601	1318491	5
3065815	-56	69535340	3	2	69535340	3263166	4601	1318491	4
3065814	-56	69535340	3	2	69535340	3263165	4601	1318491	3
3065813	-56	69535340	3	2	69535340	3263164	4601	1318491	2
3065812	-56	69535340	3	2	69535340	3263163	4601	1318491	1
3065811	-56	69535340	3	2	69535340	3263162	4601	1318491	0
3065594	-56	69535340	3	2	69535340	3262945	4601	1318466	8
3065593	-56	69535340	3	2	69535340	3262944	4601	1318466	7
3065592	-56	69535340	3	2	69535340	3262943	4601	1318466	6
3065591	-56	69535340	3	2	69535340	3262942	4601	1318466	5
3065590	-56	69535340	3	2	69535340	3262941	4601	1318466	4
3065589	-56	69535340	3	2	69535340	3262940	4601	1318466	3
3065588	-56	69535340	3	2	69535340	3262939	4601	1318466	2
3065587	-56	69535340	3	2	69535340	3262938	4601	1318466	1
3065586	-56	69535340	3	2	69535340	3262937	4601	1318466	0
3065675	-56	69535340	3	2	69535340	3263026	4601	1318475	8
3065674	-56	69535340	3	2	69535340	3263025	4601	1318475	7
3065673	-56	69535340	3	2	69535340	3263024	4601	1318475	6
3065672	-56	69535340	3	2	69535340	3263023	4601	1318475	5
3065671	-56	69535340	3	2	69535340	3263022	4601	1318475	4
3065670	-56	69535340	3	2	69535340	3263021	4601	1318475	3
3065669	-56	69535340	3	2	69535340	3263020	4601	1318475	2
